Y V V T T H H H S E E E I I J B B O O O O O O G G
V V V V T F F H E X X X X J J B B O O O Q Q Q G G
V V V V T F F H X X X X X S B B O O O O Q Q G G G
V V V V F F H H X X X X X X B B O H H O O H G G G
V V V F F F F X X X X X X X D D O O H H O O G G G
V V P P P P F F S S S X J J D J D O O O O H H H H
F F P P F F F F X S S D D J J J D O O O O O H H H
P P P F F F F F S S D D D D J J D O O O O O O R B
P P P P F F F T S S D D D D J A L O O O O O R E E
F P P P F P P P S S D D D D A L L L O G O O O E E
F F P P F P P P S S D D D D A L L L L G O O E E E
U F F F F P P P S D D D D D A L L L L L O E E E E
U U S S S P S S S S R D D D D L L L L L G E E E C
U X S S S S S S S S R R D D D L L L L N G E C C C
U X S S S S S S S S R R R R R R O Q L L K K E E E
H V S D D S S S S S R R R R R R O O Q G K K E E E
N N N N N S S S S S R R R R R O O O X G G E E E E
N N N N H B B B B H O O O H H O O O R Q T G G E E
N N N N N B B B B R R B O B D D D D R Q T Q Q Q O
U D D H H B B B B R B B T T D D D D R R T Q Q Q Q
U U C C C T B L B B B B T T R R H P O R Q O O N N
M C C C C E E L L B A B T T R R P P O O R H H N N
M C C V V E E L L L A V T T A R P O O O K N N N N
M V V V V V F F L L A A T A A C N O O O N N N N N
M V V V V V F F F L F A T A A C C O O K N N N N N
