B B H K H X X X X S F F P P P D S D J X L L L L L
R R B B R H H X X S S F F P P S S S S S L L L L L
R R H B B B B B X S S S S S S S S S S H H G G G L
R R R R M B B B B B B B B B S S S S H H H G G N N
O R R V V B B B B B B B B B X E C E G G G G R N N
U O O V V F F F J I L L I E E E E E G G G G O O O
U O G B B B F F J I L L E E E E E E G G G O Q O O
U G G B B B F F J I L I E E E E E E G G O O O O O
O G G B B B F F I L L I E E E E E E G G O Q O O H
W V W B G G F F I I L S E E E E E E E G Q R O H H
V V V V G G F Q Z I I E E E E E E E E E O O O H H
V V V V V G G F Z Z A R E E E E E H H H O O H H H
V V V V V G G G Z B U H H E E E E G H H O O O O H
V V V V V T B B B U U H H H H G G H H H H U O O O
V V V V V T N B U U O O H H H H H H H H H U N W V
V V V V V A T B N O O O X X H H H U U H H H N N V
V V V V V N D D O O O A A X H H H H H X H H H T V
V V V T X H H O O A A A A A O O H X E X X E H F V
T T T X X H H O O Q A A A A A H H X X X E E F F F
T T T X X H H O O A A A A A A J X X X X E F F F F
T T X X E E S S O O A A A A A B I I I I F F F F F
T X X E E S S S S O Q A A A A J I I I I F F F F F
E S E Z Z S S S S D Q Q A A A D I I I I F F F F F
E E E Z Z S S S S S D A A A Q D D I I I F F F F P
E E E Z Z Q Q Q S S D A A J Q D D Z E E F F F F P
