epoch trainingError testError 
1 0.2916614466844874 0.2907723770320759 
2 0.2810379261870124 0.28119975722579144 
3 0.27857861769406206 0.27744023451455013 
4 0.2706879042866729 0.27059084368382036 
5 0.26804151466139475 0.26726986041496203 
6 0.2601116422454506 0.26031416670437 
7 0.2457895419323056 0.24563714045262736 
8 0.24219420000228695 0.24138785208554328 
9 0.22525231742063656 0.22479770710652486 
10 0.2482721847186583 0.24821474906947202 
11 0.2211792802977376 0.2215543194518789 
12 0.22822784620256406 0.22881283049340784 
13 0.23523190302628794 0.23488288295959406 
14 0.23025502641225945 0.22976537693078056 
15 0.21839231376206408 0.2178477763816958 
16 0.209745150833499 0.21079644145941276 
17 0.22092277793250842 0.22067763572057855 
18 0.20665102835848634 0.20610112283646184 
19 0.2024655947655512 0.20208803500333092 
20 0.19101676469570184 0.19093422790860673 
21 0.19663562630254972 0.19584038949209384 
22 0.1945157205944615 0.19315826699310062 
23 0.1876221827974558 0.18780916905500947 
24 0.18895282266145483 0.18829203353556465 
25 0.19162442695473061 0.19171535411447785 
26 0.1709188562766396 0.17184908153674594 
27 0.17756791416208062 0.17793569140087243 
28 0.1657799681166032 0.16700140834859947 
29 0.15612532951038513 0.1573260451244696 
30 0.15799194431103822 0.15862585325684125 
