Compound,Activity,ATCH1,ATCH2,ATCH3,ATCH4,ATCH5,ATCH6,ATCH7,ATCH8,ATCH9,ATCH10,DIPV_X,DIPV_Y,DIPV_Z,DIPMOM,ESDL1,ESDL2,ESDL3,ESDL4,ESDL5,ESDL6,ESDL7,ESDL8,ESDL9,ESDL10,NSDL1,NSDL2,NSDL3,NSDL4,NSDL5,NSDL6,NSDL7,NSDL8,NSDL9,NSDL10,DWVOL,SURF_A,MOFI_X,MOFI_Y,MOFI_Z,PEAX_X,PEAX_Y,PEAX_Z,MOL_WT,S8_1DX,S8_1DY,S8_1DZ,S8_1CX,S8_1CY,S8_1CZ,LOGP,M_PNT,SUM_F,SUM_R
K17,0.0,0.001626016260162677,0.9960979070592408,0.00803506208911614,0.9430004559963521,0.01799307958477509,0.9834862385321106,0.0,0.8797468354430373,0.011750881316098472,0.0,0.6174975170839448,0.44454142274259356,0.46838253197553675,0.22179062175772457,0.9993525380705635,0.9868018167869484,0.3027824491667941,0.9999999999999999,0.8354089219330854,0.8725277096918405,0.9983489568409131,0.9581908923054423,0.944162605967559,0.9746970193252539,0.9698326757480633,0.7071200991238161,0.06503523472285522,0.31067741876407856,0.18356049654666023,0.03280483201208001,0.973708534456198,0.005336277486429231,0.004739575455049688,0.004507231752438667,0.1811448852937798,0.20913722788404565,0.0,0.07788355777227482,0.10371115706926418,0.2619203262030355,0.18677304220029398,0.07509643201542926,0.0,0.11277920494622723,0.14490068410945767,0.22848776092506373,0.04561042294759782,0.16229080135723564,0.29004307447152844,0.0,0.0,0.056818181818181795,0.06122448979591838
D30,0.0,0.7455284552845531,0.6656615821213197,0.7341124908692475,0.8018695850433197,0.766089965397924,0.1266055045871557,0.5325779036827196,0.9670886075949365,0.20799059929494668,0.31340935902477396,0.9331169119935965,0.5388965761930103,0.5004941348343575,0.29282334185287345,0.9970022710667678,0.9819611251043838,0.8445191866687051,0.9940193491644678,0.8973513011152415,0.983828947571259,0.9967388486361837,0.8734209612255718,0.884587143715373,0.9931624631509991,0.7548310917835441,0.545070360208868,0.05851418153770643,0.19269532943050918,0.02791354030426104,0.28029445073612685,0.7995275752285098,0.10201030453583587,0.05778248373922254,0.2458795829128826,0.48517026245274764,0.3996416353333484,0.41546423829428647,0.21500740743904218,0.22074525311333493,0.31402219992880487,0.49670375813562884,0.5495419479267118,0.45364477021583216,0.3333391387643139,0.21034865578492568,0.5945837713370374,0.08703281570661725,0.1492887425484753,0.20501456564499662,0.10425303239674494,0.5979381443298969,0.5340909090909091,0.8571428571428572
J19,0.03521126760563381,0.0,0.9976942178077333,0.0,0.9443684450524397,0.007612456747404845,0.9926605504587158,0.0056657223796037215,0.8645569620253166,0.0,0.003932363350373613,0.6099375935725828,0.46368635799183955,0.48148784714762455,0.1876913733329959,0.998980296961285,0.9855763681912922,0.23551444733221238,0.9999323455787834,0.8197490706319701,0.8614438329556491,0.9979532522821236,0.9547357452331767,0.9392897670382485,0.9726498526039961,0.8275206635371368,0.5950084078237011,0.05069592960067315,0.2625676838834525,0.15296230008489936,0.02374480936202339,0.8258190407723116,0.0,0.0,0.0,0.9533902861074459,0.9453455629228752,0.07200919812252779,0.8091054275665552,0.819794318845203,0.89195171677292,0.7341591433970186,0.30077748312439745,0.5725060779804552,0.454155962903296,0.8226191190590495,0.6334284427091152,0.11050650765744385,0.0,0.05786420337126208,0.6483955166589899,0.04639175257731959,0.09090909090909091,0.0
A5,0.04225352112676056,0.6422764227642277,0.6787868038311458,0.7092768444119795,0.10442316461468293,0.7667820069204152,0.13394495412843987,0.40793201133144485,0.9746835443037973,0.2044653349001173,0.30436492331891474,0.47296956760202197,0.47167642362959017,1.0,0.4093048561378647,0.9862151989212928,0.9844323898623831,0.7400244610915763,0.9647881289042237,0.7803206319702601,0.9628944488122215,0.9839671428766356,0.9614815085647429,0.9633202055937522,0.9801424828037996,0.05211243268150792,0.04122046198778653,0.042667321109280176,0.07865676106291933,0.007709781785640538,0.04711211778029445,0.06326383896477356,0.10573649829791149,0.057681641708264036,0.17793474604776327,0.6679030739985286,0.5541871629094101,0.8302432267177947,0.3612378392393177,0.3418831167848879,0.3816316624057473,0.5110644551753096,0.84995781099325,0.7799437755630039,0.5369965602821438,0.21596705472875677,0.2704109726185113,0.1559765497048659,0.28571889728194205,0.14720015935064606,0.4180869031168433,0.5309278350515464,0.36363636363636354,0.5510204081632654
J1,0.05281690140845069,0.003252032520325132,0.9969847463639588,0.002191380569758941,0.9441404468764251,0.012456747404844292,0.9963302752293579,0.004249291784702791,0.8658227848101268,0.003525264394829364,0.003932363350373613,0.7950223091860483,0.5070782331027142,0.4695856428765809,0.21980413492927092,0.9993307580056588,0.9867339248979925,0.29750802629567374,0.9999684279367655,0.834874535315985,0.8714023647659128,0.9983898917952706,0.9582822983126451,0.9438622254856152,0.9746560759908287,0.9897906286899174,0.724444641118683,0.06563124496020756,0.316861299164291,0.18713430164521233,0.03352208380520949,0.9895244941973911,0.0043702272518170715,0.004840417486008192,0.0034981500168180246,0.8675850650186412,0.8741783491584282,0.06325524033849625,0.7293184797416669,0.7571568174762151,0.8605870360182518,0.0,0.09787849566055928,0.5088946442573119,1.0,0.43824261881901116,0.6582569955448765,0.24487442594239034,0.16568030358462282,0.042028732913378,0.6497773683402426,0.09793814432989695,0.056818181818181795,0.06122448979591838
K18,0.20774647887323947,0.0024390243902439046,0.9969847463639588,0.004382761139517896,0.9439124487004105,0.013148788927335642,1.0,0.004249291784702791,0.8708860759493673,0.007050528789658728,0.001572945340149623,0.6162968233497874,0.4459890012417952,0.4704163623082542,0.21900700964142017,0.9993208579761568,0.9868153951647397,0.2991132854303624,0.9999503867577745,0.8356180297397768,0.8715411059211642,0.9983898917952706,0.9585016727299318,0.9440958547493492,0.9747789059941042,1.0000000000000002,0.733339233560492,0.06608701749465345,0.32027372674940324,0.18952639911888203,0.03401283503208763,1.0,0.004623240408501206,0.004991680532445947,0.0036999663639422087,0.35275479780953045,0.37700246012294103,0.016239169333682524,0.18433777838837018,0.2144274995967061,0.4096825345458075,0.4127650640352719,0.0,0.127223774438334,0.20519876344320115,0.3081117978876621,0.37615758121840104,0.0628873008763779,0.1230443110164203,0.20065732141523288,0.1624443420850607,0.08247422680412375,0.056818181818181795,0.06122448979591838
G2,0.2183098591549296,0.05447154471544713,1.0,0.02921840759678597,0.9498404012767899,0.0,0.8201834862385322,0.004249291784702791,0.9708860759493669,0.16568742655699165,0.30397168698387733,0.28360089533211785,0.5282880965052332,0.5286956272647847,0.11202773489890427,0.8675455252856654,0.8869056913770512,0.37433114202721307,0.7641657082290327,0.19688661710037159,0.887558001510737,0.86962217037128,0.9504945064989672,0.9452640010680196,0.9414919751064527,0.0,0.006482874590671733,0.0,0.0,0.0010268236157958757,0.0,0.0,0.04894654522035141,0.01336156910200173,0.11765893037336028,0.5921614282226084,0.48593873907509944,0.3656655458547988,0.3519195248715722,0.36779720591441717,0.430342060127504,0.5929456225068235,0.3545081967213115,0.6935015380317637,0.5396873775416902,0.16363118098895824,0.453146118035741,0.15579271757368324,0.29822956793710237,0.12623558997086864,0.45340089052663907,0.6237113402061856,0.056818181818181795,0.06122448979591838
L25,0.33802816901408456,0.902439024390244,0.6347995743171337,0.7772096420745068,0.8362973096215232,0.5730103806228374,0.16880733944954152,0.9206798866855519,0.8607594936708862,0.14101057579318343,0.01179709005112084,0.30287128859637424,0.000588965761930127,0.467995817757344,0.9992408330591898,0.985082635546254,0.9994059459716348,0.9554349487845895,0.9830322711589201,0.9952602230483271,0.9894865035687309,0.9813200158281823,0.9972212573810351,0.9968293171350378,0.9992220766459221,0.02826656682890305,0.2231834675635012,0.12176138554850469,0.10504050350094316,0.11301943507491796,0.13439033597584,0.047242477149019246,0.1556030913607508,0.13709474108808553,0.11839892364614879,1.0,0.9999999999999999,0.07699853915497964,1.0,1.0,0.9999999999999999,1.0,0.41281943105110885,0.6450631742635562,0.5146253319980842,1.0,0.7743905491315011,1.0,1.0,0.4317655553619002,1.0,0.08762886597938147,0.5340909090909091,0.8571428571428572
A10,0.35211267605633806,0.76260162601626,0.6731110322809507,0.8049671292914534,0.0,1.0,0.07706422018348569,0.5014164305949009,0.9860759493670885,0.18683901292596872,0.3145890680298862,0.0,0.7461415646620542,0.0861656569128747,0.42470329225396675,0.9929927591184222,0.988193600510547,0.8718850328695918,0.9663712423606882,0.8534386617100371,0.9830889947432518,0.9919221690067814,0.9425604650737647,0.9493358253788132,0.9919751064526695,0.04960688880569075,0.053256925391627546,0.09115450688917714,0.01824031059805998,0.008145751588995206,0.059116647791619514,0.06942590120160219,0.13998527923452014,0.08581656834568649,0.19838546922300715,0.7277548640172626,0.5895733784936058,0.9291734110556978,0.3822011607271084,0.35538537828561767,0.37924986246399794,0.47667436489607395,0.9107401157184185,0.8525004183500817,0.5329124395872338,0.21451932309169475,0.2884567252340191,0.1549002961368513,0.28383942726379296,0.0777332370589846,0.40887455857515737,0.6855670103092784,0.38636363636363635,0.9795918367346939
C11,0.38732394366197187,0.7398373983739834,0.6683221000354735,0.7384952520087654,0.8059735522115824,0.7584775086505191,0.11743119266054958,0.5651558073654392,0.9734177215189872,0.24794359576968183,0.30475815965395214,0.6389469471250057,0.63859499733901,0.5828212950629484,0.03611104081787586,0.6433732172521874,0.6667662414371356,0.8809815012994956,0.6245450240173194,0.6402184014869887,0.7306725862892907,0.6476319128904171,0.8175170472203434,0.8199385888792472,0.8089993449066493,0.027748178440802934,0.019006106735109274,0.07814745994460615,0.04793270375367035,0.011673665129299467,0.07421668554171384,0.05792338502618877,0.1392032385684055,0.08097615085967833,0.19105280861083085,0.4692804066955616,0.3681795281506385,0.43418934936999287,0.22068389502414737,0.21854017940831744,0.3179961813533543,0.18983833718244805,0.6379580520732884,0.44450183688564326,0.5385814429398703,0.13341634661545854,0.09638584372027803,0.15535486286123013,0.27137179790675825,0.7432960685207778,0.2888070013818517,0.7731958762886597,0.5340909090909091,0.06122448979591838
